time.sec,MSH.1,FSH.1,FSH.2,blank.1,blank.2,blank.3,FSH.3,MSH.3,FSH.4,MSH.5,FSH.5,FSH.6,MBR.39,MBR.40,MBR.53,FBR.53,MBR.54,FBR.54,MBR.56,FBR.47,MBR.47,FBR.49,MBR.49,FBR.50
67800,0.115,0.136,0.149,8.013,7.967,8.022,0.126,0.149,0.169,0.091,0.112,0.276,3.131,0.149,0.366,0.101,1.586,0.172,0.187,0.284,1.054,0.961,1.349,0.102
68100,0.115,0.136,0.149,7.982,7.997,8.038,0.138,0.137,0.169,0.114,0.124,0.299,3.106,0.126,0.378,0.112,1.574,0.172,0.187,0.296,1.054,0.926,1.326,0.113
68400,0.127,0.136,0.149,7.997,7.982,8.038,0.138,0.149,0.158,0.102,0.112,0.265,3.08,0.126,0.343,0.09,1.515,0.16,0.164,0.273,1.006,0.855,1.302,0.113
68700,0.104,0.136,0.149,7.967,7.997,7.976,0.149,0.126,0.158,0.091,0.112,0.265,3.067,0.149,0.343,0.112,1.468,0.172,0.152,0.25,0.994,0.808,1.255,0.113
69000,0.138,0.136,0.126,7.997,7.997,8.053,0.161,0.171,0.181,0.114,0.135,0.288,3.042,0.149,0.332,0.101,1.444,0.172,0.152,0.261,0.971,0.773,1.255,0.113
69300,0.115,0.125,0.138,7.952,7.967,8.038,0.126,0.137,0.169,0.114,0.124,0.265,3.029,0.126,0.309,0.101,1.444,0.172,0.152,0.25,0.947,0.703,1.208,0.124
69600,0.127,0.125,0.126,7.982,7.982,8.007,0.149,0.137,0.169,0.102,0.124,0.241,3.029,0.149,0.332,0.101,1.397,0.172,0.129,0.227,0.923,0.668,1.172,0.113
69900,0.115,0.148,0.138,7.982,7.922,7.991,0.149,0.149,0.158,0.091,0.124,0.241,2.978,0.137,0.309,0.112,1.432,0.16,0.129,0.227,0.876,0.621,1.149,0.09
70200,0.092,0.125,0.138,7.967,7.997,8.022,0.149,0.137,0.158,0.091,0.124,0.253,2.953,0.149,0.309,0.101,1.35,0.16,0.117,0.216,0.887,0.575,1.114,0.09
70500,0.127,0.125,0.138,7.952,7.952,8.038,0.138,0.126,0.192,0.102,0.135,0.276,2.94,0.137,0.297,0.079,1.362,0.16,0.14,0.227,0.864,0.528,1.102,0.09
70800,0.127,0.125,0.149,7.982,7.997,8.022,0.149,0.149,0.158,0.102,0.124,0.241,2.94,0.149,0.297,0.112,1.28,0.172,0.14,0.193,0.828,0.505,1.09,0.124
71100,0.115,0.136,0.138,7.982,7.967,8.038,0.161,0.149,0.181,0.102,0.124,0.241,2.915,0.137,0.32,0.101,1.233,0.172,0.152,0.216,0.816,0.482,1.067,0.102
71400,0.104,0.102,0.149,7.937,7.982,8.007,0.103,0.137,0.158,0.091,0.112,0.218,2.852,0.137,0.286,0.101,1.221,0.16,0.14,0.204,0.816,0.459,1.044,0.079
71700,0.127,0.136,0.149,7.967,7.967,8.038,0.126,0.171,0.181,0.079,0.112,0.241,2.877,0.126,0.297,0.09,1.245,0.195,0.176,0.182,0.793,0.436,1.032,0.124
72000,0.104,0.125,0.126,7.997,7.967,7.991,0.115,0.137,0.169,0.079,0.112,0.241,2.801,0.16,0.274,0.09,1.198,0.183,0.14,0.182,0.781,0.436,0.997,0.102
72300,0.104,0.136,0.126,7.967,7.967,8.022,0.149,0.137,0.169,0.079,0.135,0.218,2.801,0.149,0.263,0.112,1.175,0.183,0.14,0.17,0.745,0.413,0.985,0.113
72600,0.138,0.148,0.138,7.937,7.967,8.007,0.161,0.16,0.158,0.114,0.146,0.218,2.789,0.137,0.251,0.123,1.163,0.172,0.152,0.182,0.745,0.424,0.985,0.124
72900,0.127,0.125,0.138,7.952,7.982,8.022,0.115,0.137,0.169,0.102,0.124,0.23,2.789,0.137,0.263,0.112,1.14,0.206,0.14,0.17,0.734,0.401,0.938,0.124
73200,0.115,0.148,0.149,7.937,7.967,8.022,0.138,0.16,0.181,0.114,0.135,0.218,2.763,0.16,0.251,0.123,1.116,0.183,0.152,0.159,0.734,0.401,0.938,0.113
73500,0.138,0.136,0.149,7.952,7.967,8.038,0.126,0.149,0.181,0.114,0.146,0.207,2.738,0.16,0.263,0.112,1.116,0.172,0.152,0.182,0.686,0.401,0.904,0.113
73800,0.104,0.125,0.115,7.907,7.952,8.022,0.138,0.137,0.169,0.091,0.135,0.207,2.713,0.149,0.228,0.101,1.047,0.16,0.129,0.159,0.663,0.378,0.88,0.113
74100,0.127,0.136,0.126,7.937,7.952,7.991,0.126,0.149,0.169,0.102,0.124,0.195,2.701,0.149,0.251,0.101,1.012,0.183,0.129,0.147,0.651,0.355,0.88,0.124
74400,0.115,0.125,0.149,7.922,7.906,8.038,0.149,0.137,0.158,0.102,0.135,0.207,2.688,0.149,0.24,0.09,1.012,0.172,0.152,0.147,0.675,0.343,0.845,0.124
74700,0.104,0.125,0.149,7.937,7.952,8.038,0.149,0.137,0.203,0.091,0.112,0.207,2.663,0.126,0.24,0.123,1,0.172,0.152,0.17,0.628,0.32,0.845,0.124
75000,0.092,0.125,0.149,7.937,7.937,8.022,0.138,0.114,0.181,0.102,0.124,0.207,2.65,0.137,0.228,0.112,0.977,0.172,0.14,0.147,0.628,0.297,0.799,0.102
75300,0.104,0.125,0.126,7.937,7.937,7.976,0.149,0.149,0.181,0.102,0.112,0.207,2.638,0.149,0.228,0.112,0.954,0.16,0.152,0.159,0.628,0.32,0.811,0.113
75600,0.127,0.136,0.149,7.937,7.952,7.991,0.138,0.137,0.169,0.114,0.112,0.218,2.625,0.16,0.217,0.09,0.954,0.16,0.152,0.17,0.604,0.297,0.799,0.113
75900,0.115,0.125,0.138,7.937,7.922,8.007,0.161,0.149,0.169,0.079,0.124,0.195,2.588,0.16,0.205,0.101,0.931,0.172,0.14,0.159,0.592,0.297,0.764,0.113
76200,0.092,0.113,0.149,7.937,7.906,8.022,0.138,0.126,0.169,0.091,0.124,0.207,2.563,0.114,0.183,0.09,0.919,0.172,0.14,0.136,0.557,0.297,0.753,0.113
76500,0.115,0.102,0.126,7.876,7.937,8.007,0.138,0.126,0.158,0.091,0.09,0.218,2.55,0.137,0.194,0.09,0.885,0.16,0.14,0.159,0.545,0.297,0.73,0.113
76800,0.138,0.148,0.138,7.922,7.876,8.007,0.149,0.149,0.169,0.102,0.112,0.207,2.55,0.126,0.171,0.101,0.85,0.172,0.14,0.147,0.545,0.274,0.718,0.113
77100,0.104,0.113,0.115,7.922,7.937,7.991,0.138,0.16,0.169,0.114,0.124,0.218,2.55,0.149,0.194,0.09,0.85,0.172,0.164,0.136,0.545,0.286,0.695,0.113
77400,0.115,0.136,0.138,7.922,7.937,8.007,0.138,0.149,0.181,0.091,0.112,0.184,2.5,0.103,0.16,0.101,0.816,0.16,0.164,0.147,0.534,0.251,0.707,0.113
77700,0.104,0.125,0.138,7.891,7.937,8.022,0.149,0.149,0.169,0.114,0.124,0.207,2.475,0.16,0.148,0.101,0.827,0.183,0.14,0.159,0.522,0.24,0.672,0.102
78000,0.138,0.148,0.138,7.922,7.937,8.038,0.149,0.16,0.169,0.102,0.124,0.184,2.463,0.149,0.16,0.101,0.793,0.172,0.164,0.17,0.487,0.251,0.672,0.136
78300,0.127,0.113,0.126,7.876,7.906,7.976,0.138,0.16,0.169,0.079,0.124,0.195,2.438,0.114,0.125,0.112,0.77,0.183,0.129,0.159,0.475,0.228,0.637,0.102
78600,0.127,0.148,0.149,7.861,7.906,7.976,0.126,0.137,0.181,0.114,0.124,0.184,2.426,0.149,0.114,0.101,0.747,0.172,0.129,0.17,0.487,0.206,0.637,0.102
78900,0.115,0.125,0.115,7.861,7.906,8.007,0.138,0.137,0.169,0.091,0.112,0.195,2.401,0.137,0.114,0.101,0.724,0.149,0.129,0.147,0.452,0.206,0.614,0.113
79200,0.104,0.136,0.138,7.861,7.876,7.991,0.103,0.149,0.158,0.079,0.124,0.184,2.401,0.137,0.103,0.112,0.712,0.16,0.117,0.159,0.463,0.194,0.591,0.102
79500,0.115,0.113,0.149,7.891,7.937,8.022,0.126,0.149,0.158,0.091,0.135,0.195,2.388,0.137,0.114,0.112,0.712,0.172,0.14,0.17,0.463,0.183,0.603,0.124
79800,0.115,0.136,0.126,7.861,7.906,8.007,0.126,0.149,0.181,0.068,0.124,0.172,2.363,0.149,0.125,0.101,0.701,0.16,0.14,0.17,0.428,0.194,0.603,0.102
80100,0.127,0.136,0.126,7.846,7.906,7.991,0.138,0.171,0.181,0.114,0.124,0.184,2.351,0.16,0.137,0.09,0.689,0.172,0.152,0.147,0.428,0.183,0.58,0.113
80400,0.104,0.125,0.138,7.861,7.922,7.991,0.138,0.149,0.158,0.102,0.101,0.184,2.326,0.149,0.125,0.101,0.655,0.183,0.105,0.147,0.405,0.148,0.545,0.102
80700,0.127,0.125,0.149,7.861,7.906,8.007,0.126,0.137,0.147,0.102,0.124,0.184,2.301,0.126,0.137,0.112,0.655,0.172,0.152,0.147,0.382,0.171,0.568,0.136
81000,0.115,0.148,0.138,7.846,7.876,8.007,0.138,0.149,0.181,0.102,0.124,0.184,2.289,0.171,0.114,0.101,0.678,0.172,0.129,0.159,0.393,0.16,0.545,0.113
81300,0.115,0.136,0.149,7.861,7.906,8.007,0.149,0.149,0.181,0.091,0.101,0.184,2.301,0.16,0.125,0.079,0.632,0.16,0.14,0.159,0.37,0.148,0.522,0.113
81600,0.127,0.136,0.149,7.861,7.891,8.038,0.149,0.137,0.169,0.091,0.101,0.195,2.252,0.137,0.125,0.112,0.644,0.172,0.14,0.159,0.382,0.148,0.534,0.113
81900,0.115,0.125,0.138,7.831,7.891,7.991,0.149,0.16,0.158,0.102,0.101,0.184,2.24,0.126,0.125,0.09,0.598,0.149,0.129,0.147,0.347,0.148,0.522,0.113
82200,0.138,0.148,0.161,7.846,7.861,8.007,0.126,0.137,0.181,0.091,0.112,0.172,2.252,0.16,0.137,0.123,0.644,0.172,0.152,0.147,0.347,0.16,0.511,0.124
82500,0.115,0.136,0.149,7.786,7.846,7.961,0.126,0.137,0.181,0.091,0.135,0.184,2.215,0.149,0.125,0.112,0.621,0.16,0.14,0.147,0.358,0.148,0.499,0.102
82800,0.115,0.136,0.138,7.816,7.922,7.991,0.126,0.149,0.169,0.102,0.124,0.184,2.215,0.149,0.114,0.112,0.587,0.172,0.14,0.125,0.335,0.125,0.477,0.113
83100,0.104,0.125,0.149,7.786,7.876,8.007,0.126,0.149,0.158,0.079,0.124,0.184,2.178,0.126,0.125,0.09,0.587,0.183,0.117,0.147,0.312,0.148,0.465,0.136
83400,0.127,0.148,0.138,7.801,7.891,7.991,0.161,0.16,0.169,0.125,0.112,0.172,2.19,0.137,0.125,0.112,0.564,0.172,0.152,0.147,0.335,0.148,0.454,0.136
83700,0.127,0.148,0.161,7.801,7.861,8.022,0.149,0.16,0.158,0.102,0.112,0.149,2.166,0.149,0.125,0.112,0.53,0.16,0.129,0.159,0.312,0.125,0.454,0.113
84000,0.115,0.113,0.138,7.786,7.861,7.991,0.149,0.126,0.147,0.091,0.124,0.149,2.141,0.137,0.091,0.101,0.518,0.172,0.117,0.159,0.3,0.125,0.442,0.113
84300,0.104,0.113,0.138,7.786,7.861,8.007,0.149,0.126,0.147,0.102,0.112,0.172,2.129,0.149,0.114,0.09,0.484,0.149,0.14,0.125,0.266,0.148,0.442,0.113
84600,0.115,0.125,0.149,7.756,7.876,8.022,0.138,0.114,0.181,0.091,0.124,0.138,2.104,0.114,0.125,0.101,0.439,0.16,0.129,0.147,0.266,0.137,0.431,0.113
84900,0.127,0.113,0.115,7.771,7.861,8.007,0.138,0.149,0.158,0.091,0.124,0.172,2.104,0.149,0.137,0.101,0.393,0.16,0.129,0.147,0.266,0.114,0.454,0.102
85200,0.104,0.125,0.138,7.741,7.846,7.961,0.126,0.149,0.158,0.102,0.112,0.161,2.092,0.137,0.103,0.112,0.416,0.16,0.14,0.159,0.242,0.125,0.419,0.113
85500,0.127,0.102,0.138,7.741,7.846,8.007,0.149,0.137,0.158,0.079,0.112,0.149,2.092,0.149,0.137,0.101,0.348,0.172,0.14,0.125,0.231,0.137,0.419,0.102
85800,0.115,0.125,0.149,7.696,7.861,7.945,0.138,0.149,0.158,0.102,0.112,0.149,2.043,0.149,0.125,0.101,0.348,0.172,0.14,0.159,0.219,0.137,0.397,0.113
86100,0.115,0.136,0.138,7.741,7.846,8.007,0.126,0.137,0.169,0.079,0.124,0.161,2.043,0.149,0.137,0.101,0.314,0.172,0.14,0.147,0.231,0.125,0.419,0.113
86400,0.115,0.113,0.138,7.741,7.831,8.007,0.149,0.137,0.169,0.091,0.112,0.149,2.043,0.149,0.114,0.112,0.292,0.183,0.14,0.147,0.219,0.137,0.397,0.113
86700,0.104,0.091,0.126,7.681,7.831,8.007,0.138,0.114,0.147,0.091,0.112,0.172,1.981,0.126,0.114,0.079,0.258,0.172,0.152,0.136,0.219,0.137,0.397,0.113
87000,0.138,0.136,0.138,7.711,7.861,7.991,0.149,0.171,0.169,0.114,0.135,0.161,1.981,0.149,0.125,0.112,0.269,0.172,0.152,0.147,0.196,0.137,0.408,0.124
87300,0.127,0.125,0.138,7.711,7.846,7.991,0.149,0.126,0.169,0.091,0.112,0.149,1.981,0.149,0.114,0.101,0.247,0.16,0.14,0.125,0.196,0.137,0.397,0.124
87600,0.115,0.125,0.138,7.711,7.816,7.976,0.138,0.149,0.158,0.091,0.101,0.161,1.945,0.126,0.137,0.101,0.213,0.16,0.152,0.147,0.173,0.125,0.374,0.113
87900,0.138,0.148,0.149,7.681,7.816,7.991,0.126,0.137,0.169,0.114,0.135,0.172,1.933,0.16,0.125,0.101,0.168,0.16,0.14,0.17,0.196,0.16,0.397,0.113
88200,0.127,0.125,0.103,7.681,7.816,7.976,0.126,0.149,0.169,0.079,0.101,0.149,1.92,0.137,0.125,0.09,0.157,0.16,0.152,0.147,0.161,0.125,0.385,0.113
88500,0.115,0.136,0.126,7.666,7.846,7.991,0.149,0.149,0.169,0.102,0.124,0.149,1.908,0.137,0.125,0.112,0.145,0.183,0.14,0.159,0.161,0.125,0.374,0.124
88800,0.092,0.113,0.138,7.621,7.786,7.991,0.115,0.126,0.158,0.079,0.124,0.126,1.884,0.16,0.125,0.101,0.123,0.172,0.14,0.125,0.161,0.125,0.374,0.102
89100,0.115,0.148,0.149,7.666,7.801,7.976,0.149,0.114,0.147,0.091,0.101,0.149,1.884,0.126,0.125,0.101,0.123,0.172,0.117,0.147,0.173,0.148,0.374,0.113
89400,0.115,0.125,0.138,7.636,7.771,7.976,0.138,0.137,0.158,0.079,0.112,0.138,1.859,0.114,0.103,0.101,0.112,0.149,0.14,0.136,0.115,0.137,0.351,0.113
89700,0.115,0.125,0.138,7.636,7.801,7.961,0.138,0.149,0.147,0.091,0.101,0.149,1.835,0.126,0.114,0.101,0.123,0.172,0.152,0.159,0.138,0.16,0.34,0.113
90000,0.115,0.136,0.149,7.621,7.786,8.007,0.149,0.149,0.181,0.102,0.124,0.161,1.823,0.137,0.114,0.101,0.112,0.183,0.117,0.147,0.127,0.148,0.351,0.113
90300,0.127,0.113,0.138,7.621,7.801,7.976,0.138,0.149,0.169,0.091,0.124,0.149,1.811,0.16,0.103,0.112,0.134,0.16,0.129,0.17,0.138,0.148,0.34,0.113
90600,0.115,0.136,0.138,7.636,7.786,7.976,0.138,0.126,0.169,0.079,0.124,0.149,1.811,0.149,0.125,0.112,0.123,0.183,0.152,0.17,0.15,0.148,0.351,0.113
